rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month
165,spotify:track:38rjRVqEHSlDRrDWDvjkqW,Vũ.,Bước Qua Nhau,WM Vietnam,1,163,106,132605,1
166,spotify:track:1w3eUC89GPspKpi62tPwjt,Hoàng Dũng,Nàng Thơ,Yin Yang Media,2,170,181,131898,1
167,spotify:track:3rx7g2qRxKscgtQUiKwQvN,Phương Ly,ThichThich,PHUONG LY,9,175,80,131722,1
168,spotify:track:2nFXaYb2fWOoUJXMPb6y4C,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,153,13,131684,1
169,spotify:track:2qc4FFBylFT5YhvMJMX50R,SOOBIN,Đi Để Trở Về,TTV Entertainment,51,-1,11,131082,1
170,spotify:track:3uT8QfoX0BE8ZJa4h98LDW,"Puppy, Dangrangto",Wrong Times,MaiDao Music,73,192,13,130939,1
171,spotify:track:1wvLeW8THXNent0N2sGSgF,Sáo,Ngồi Nhìn Em Khóc,Yin Yang Media,95,173,38,130571,1
172,spotify:track:50cmxP6KlnQA9IG3q5ckKD,Chillies,Mascara,WM Vietnam,3,166,175,128546,1
173,spotify:track:3XEspwit4d8gwKKgeopfCv,"Sean, Lửa",Em Thích,MaiDao Music,65,174,55,128221,1
174,spotify:track:7gaA3wERFkFkgivjwbSvkG,Ariana Grande,"yes, and?",Republic Records,38,90,3,127909,1
175,spotify:track:40fjFtLBN98eDzOS4NfXs5,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,114,197,54,127777,1
176,spotify:track:37GNTP4wB0QSkUwcTWLHKg,"Low G, Wren Evans",Fashion Tán Gái,Universal Music Pte. Ltd. Distributed Labels,53,182,12,126436,1
177,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,107,157,17,126129,1
178,spotify:track:6Ov6L8Iy0SMEl9w1TOUvaG,"Wxrdie, WOKEUP, 2pillz",Vinflow,LOOPS Music,142,142,14,125435,1
179,spotify:track:2c0QMztYu6PCfFrGLqHXIV,"Phí Phương Anh, RIN9",Răng Khôn (feat. RIN9),Yin Yang Media,6,178,101,124094,1
180,spotify:track:7paCdW3grnoEi95tjO1OkG,Thịnh Suy,Thắc Mắc?,InQ International,137,172,8,123980,1
181,spotify:track:0SmQ0UWeiHKQtxUej4Rem6,SOOBIN,Tháng Năm,Spacespeakers,6,-1,115,123583,1
182,spotify:track:5MiIaWMDwGGWHY56oXRhlJ,"Văn Mai Hương, GREY D, Trung Quân",Mưa Tháng Sáu,Yin Yang Media,6,-1,24,123030,1
